frame_id,found,nid2,nid1,pci,peak_pos,sss_pos,toa_ns,cfo_hz,pss_metric,pss_peak_ratio,sss_metric,sss_peak_ratio
164,1,1,-1,-1,2954,0,21962769,2133971.250,0.082559,1.282114,0.000000,1.007713
165,0,-1,-1,-1,0,0,0,0.000,0.000000,1.046075,0.000000,0.000000
166,1,1,-1,-1,2654,0,22219670,-1595166.125,0.086395,1.284411,0.000000,1.015299
167,0,-1,-1,-1,0,0,0,0.000,0.000000,1.074896,0.000000,0.000000
168,0,-1,-1,-1,0,0,0,0.000,0.000000,1.010564,0.000000,0.000000
169,1,2,149,449,1132,3293,22570124,8578282.000,0.063969,1.158289,0.091094,1.185082
170,0,-1,-1,-1,0,0,0,0.000,0.000000,1.064064,0.000000,0.000000
171,1,2,115,347,956,2986,22831061,7426051.000,0.067005,1.141541,0.090507,1.096558
172,1,2,91,275,3788,3906,23056582,5130247.000,0.093320,1.364844,0.089721,1.226920
173,1,2,250,752,90,2253,23069537,4720494.500,0.072337,1.159938,0.087611,1.158994
174,1,2,-1,-1,1450,0,23247141,-9545712.000,0.070235,1.186136,0.000000,1.005790
175,1,2,95,287,924,2903,23363352,-15082607.000,0.082916,1.128705,0.116475,1.137504
176,0,-1,-1,-1,0,0,0,0.000,0.000000,1.035399,0.000000,0.000000
177,0,-1,-1,-1,0,0,0,0.000,0.000000,1.007872,0.000000,0.000000
178,1,2,315,947,3710,3942,23854041,12890122.000,0.067267,1.122579,0.083028,1.096916
179,0,-1,-1,-1,0,0,0,0.000,0.000000,1.016408,0.000000,0.000000
180,0,-1,-1,-1,0,0,0,0.000,0.000000,1.058930,0.000000,0.000000
181,1,1,-1,-1,1030,0,24166800,1853.940,0.081079,1.081958,0.000000,1.071931
182,1,2,254,764,632,2573,24287177,10258818.000,0.073113,1.183897,0.096647,1.146137
183,1,1,-1,-1,30,0,24400914,-7565302.000,0.059365,1.100548,0.000000,1.053937
184,1,0,-1,-1,172,0,24538869,5241681.500,0.067438,1.108219,0.000000,1.038619
185,0,-1,-1,-1,0,0,0,0.000,0.000000,1.079072,0.000000,0.000000
186,0,-1,-1,-1,0,0,0,0.000,0.000000,1.072417,0.000000,0.000000
187,0,-1,-1,-1,0,0,0,0.000,0.000000,1.008636,0.000000,0.000000
188,1,0,-1,-1,2192,0,25137957,6558247.500,0.067825,1.106554,0.000000,1.006399
189,1,2,-1,-1,3698,0,25320313,78705.047,0.069570,1.100945,0.000000,1.040214
190,1,0,121,363,1430,3465,25379818,1295047.500,0.072310,1.106851,0.091978,1.089393
191,1,1,-1,-1,2128,0,25535872,467122.719,0.071993,1.172181,0.000000,1.043053
192,1,0,-1,-1,1366,0,25644401,7043675.500,0.073643,1.150354,0.000000,1.075540
193,0,-1,-1,-1,0,0,0,0.000,0.000000,1.011480,0.000000,0.000000
194,0,-1,-1,-1,0,0,0,0.000,0.000000,1.044136,0.000000,0.000000
195,1,2,-1,-1,874,0,26028384,-10790793.000,0.076524,1.252510,0.000000,1.005413
196,0,-1,-1,-1,0,0,0,0.000,0.000000,1.036441,0.000000,0.000000
197,0,-1,-1,-1,0,0,0,0.000,0.000000,1.057725,0.000000,0.000000
198,1,2,-1,-1,368,0,26411912,2183625.000,0.078762,1.269839,0.000000,1.048337
199,0,-1,-1,-1,0,0,0,0.000,0.000000,1.015758,0.000000,0.000000
200,0,-1,-1,-1,0,0,0,0.000,0.000000,1.005729,0.000000,0.000000
201,0,-1,-1,-1,0,0,0,0.000,0.000000,1.035406,0.000000,0.000000
202,0,-1,-1,-1,0,0,0,0.000,0.000000,1.072550,0.000000,0.000000
203,1,1,-1,-1,3366,0,27176168,7040049.000,0.065772,1.201409,0.000000,1.026648
204,1,2,-1,-1,1406,0,27245699,1137378.750,0.067832,1.263920,0.000000,1.020468
205,0,-1,-1,-1,0,0,0,0.000,0.000000,1.002140,0.000000,0.000000
